date,category,value,source,month,year,mom_change,yoy_change,ma_3m,ma_12m,above_3m_ma,above_12m_ma,momentum_3m,momentum_6m
2022-11-01,Equipment Investment Index,117.8,ECOS,11,2022,-3.521703521703523,7.579908675799074,117.5,113.34166666666665,1,1,0.02212765957446802,0.008824963432471964
2022-12-01,Equipment Investment Index,115.8,ECOS,12,2022,-1.697792869269954,4.230423042304232,118.56666666666666,113.73333333333333,0,1,-0.02656733202136654,-0.0005582411358993708
2023-01-01,Equipment Investment Index,100.3,ECOS,1,2023,-13.385146804835923,-13.608957795004306,111.3,112.41666666666667,0,0,-0.0786163522012578,-0.026699721103191774
2023-02-01,Equipment Investment Index,114.6,ECOS,2,2023,14.257228315054826,6.902985074626855,110.23333333333333,113.03333333333335,1,1,-0.0054429996976112,-0.014402810304449632
2023-03-01,Equipment Investment Index,108.7,ECOS,3,2023,-5.148342059336819,4.019138755980856,107.86666666666666,113.38333333333334,1,0,0.03893695920889991,-0.02324241340876102
2023-04-01,Equipment Investment Index,108.3,ECOS,4,2023,-0.36798528058877844,4.335260115606943,110.53333333333335,113.75833333333333,0,0,-0.028498190591073704,-0.014038853708275198
2023-05-01,Equipment Investment Index,107.8,ECOS,5,2023,-0.4616805170821747,-5.604203152364273,108.26666666666667,113.22500000000001,0,0,-0.004156403940886871,-0.005727361882968303
2023-06-01,Equipment Investment Index,112.3,ECOS,6,2023,4.174397031539878,-0.3549245785270716,109.46666666666665,113.19166666666666,1,0,0.01827040194884274,0.010306748466257601
2023-07-01,Equipment Investment Index,101.9,ECOS,7,2023,-9.260908281389124,-11.468288444830577,107.33333333333333,112.09166666666665,0,0,-0.027484472049689436,-0.01395348837209295
2023-08-01,Equipment Investment Index,103.4,ECOS,8,2023,1.4720314033366044,-15.866558177379986,105.86666666666667,110.46666666666668,0,0,-0.04203400503778352,-0.010994484967087752
2023-09-01,Equipment Investment Index,110.6,ECOS,9,2023,6.9632495164409836,-1.7761989342806372,105.3,110.3,1,1,0.04131054131054114,-0.0032194408106250225
2023-10-01,Equipment Investment Index,108.1,ECOS,10,2023,-2.2603978300180794,-11.466011466011473,107.36666666666667,109.13333333333333,1,0,0.02188761254268859,-0.0005589194224499451
2023-11-01,Equipment Investment Index,108.7,ECOS,11,2023,0.5550416281221215,-7.724957555178269,109.13333333333333,108.375,0,1,-0.008704948075748236,0.002073089700996648
2023-12-01,Equipment Investment Index,110.1,ECOS,12,2023,1.2879484820607079,-4.922279792746121,108.96666666666665,107.90000000000002,1,1,0.009177118384827118,0.014507956262778817
2024-01-01,Equipment Investment Index,103.6,ECOS,1,2024,-5.9037238873751114,3.2901296111665035,107.46666666666665,108.175,0,0,-0.023728287841191315,2.6598692230886136e-05
2024-02-01,Equipment Investment Index,112.8,ECOS,2,2024,8.880308880308885,-1.5706806282722474,108.83333333333333,108.02499999999999,1,1,0.012404287901990768,-0.0002883796124353356
2024-03-01,Equipment Investment Index,105.9,ECOS,3,2024,-6.117021276595736,-2.575896964121438,107.43333333333332,107.79166666666667,0,0,0.010704312752094308,-0.0013731185635067966
2024-04-01,Equipment Investment Index,108.0,ECOS,4,2024,1.9830028328611915,-0.27700831024930483,108.90000000000002,107.76666666666667,0,1,-0.02203856749311293,-0.0018223034091159195
2024-05-01,Equipment Investment Index,103.3,ECOS,5,2024,-4.351851851851851,-4.17439703153989,105.73333333333333,107.39166666666667,0,0,-0.012295081967213043,-0.007376994607070751
2024-06-01,Equipment Investment Index,106.5,ECOS,6,2024,3.0977734753146136,-5.1647373107747026,105.93333333333334,106.90833333333335,1,0,-0.007079924480805567,-0.0031870020309326124
2024-07-01,Equipment Investment Index,122.1,ECOS,7,2024,14.647887323943664,19.823356231599586,110.63333333333333,108.59166666666665,1,1,0.08496535100934,0.011348748427400104
2024-08-01,Equipment Investment Index,110.9,ECOS,8,2024,-9.17280917280916,7.253384912959371,113.16666666666667,109.21666666666665,0,1,0.0194403534609721,0.018403706845917845
2024-09-01,Equipment Investment Index,117.2,ECOS,9,2024,5.68079350766455,5.967450271247743,116.73333333333333,109.76666666666667,1,1,-0.020988006853226857,0.02165953806672362
