date,region,country,value,unit,sector,source
2024-02-01,Europe,Europe,310480.0,thousand USD,energy,PETRONET
2024-02-01,Europe,Europe,81.565,USD/bbl,energy,PETRONET
2024-02-01,Europe,Norway,659.0,thousand bbl,energy,PETRONET
2024-02-01,Europe,Norway,52740.0,thousand USD,energy,PETRONET
2024-02-01,Europe,Norway,80.01,USD/bbl,energy,PETRONET
2024-02-01,Europe,United Kingdom,3101.0,thousand bbl,energy,PETRONET
2024-02-01,Europe,United Kingdom,257740.0,thousand USD,energy,PETRONET
2024-02-01,Europe,United Kingdom,83.12,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,Iraq,8419.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,Iraq,659468.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,Iraq,78.33,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,Kuwait,9506.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,Kuwait,794508.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,Kuwait,83.58,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,MiddleEast,67.18,percentage,energy,PETRONET
2024-02-01,MiddleEast,MiddleEast,59928.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,MiddleEast,4960384.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,MiddleEast,69.89,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,Neutral Zone,2734.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,Neutral Zone,219594.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,Neutral Zone,80.32,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,Oman,0.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,Oman,0.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,Oman,0.0,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,Qatar,4136.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,Qatar,326004.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,Qatar,78.81,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,Saudi Arabia,24023.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,Saudi Arabia,2031831.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,Saudi Arabia,84.58,USD/bbl,energy,PETRONET
2024-02-01,MiddleEast,UAE,11110.0,thousand bbl,energy,PETRONET
2024-02-01,MiddleEast,UAE,928979.0,thousand USD,energy,PETRONET
2024-02-01,MiddleEast,UAE,83.61,USD/bbl,energy,PETRONET
2024-02-01,Total,Total,89022.0,thousand bbl,energy,PETRONET
2024-02-01,Total,Total,7383846.0,thousand USD,energy,PETRONET
2024-02-01,Total,Total,82.94,USD/bbl,energy,PETRONET
2024-03-01,Africa,Africa,1.64,percentage,energy,PETRONET
2024-03-01,Africa,Africa,1267.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Africa,114029.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Africa,34.510000000000005,USD/bbl,energy,PETRONET
2024-03-01,Africa,Algeria,1047.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Algeria,96320.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Algeria,91.97,USD/bbl,energy,PETRONET
2024-03-01,Africa,Congo,0.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Congo,0.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Congo,0.0,USD/bbl,energy,PETRONET
2024-03-01,Africa,Equatorial Guinea,220.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Equatorial Guinea,17709.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Equatorial Guinea,80.58,USD/bbl,energy,PETRONET
2024-03-01,Africa,Gabon,0.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Gabon,0.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Gabon,0.0,USD/bbl,energy,PETRONET
2024-03-01,Africa,Mozambique,0.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Mozambique,0.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Mozambique,0.0,USD/bbl,energy,PETRONET
2024-03-01,Africa,Nigeria,0.0,thousand bbl,energy,PETRONET
2024-03-01,Africa,Nigeria,0.0,thousand USD,energy,PETRONET
2024-03-01,Africa,Nigeria,0.0,USD/bbl,energy,PETRONET
2024-03-01,America,America,17.87,percentage,energy,PETRONET
2024-03-01,America,America,14951.0,thousand bbl,energy,PETRONET
2024-03-01,America,America,1240860.0,thousand USD,energy,PETRONET
2024-03-01,America,America,48.254,USD/bbl,energy,PETRONET
2024-03-01,America,Brazil,1473.0,thousand bbl,energy,PETRONET
2024-03-01,America,Brazil,124542.0,thousand USD,energy,PETRONET
2024-03-01,America,Brazil,84.56,USD/bbl,energy,PETRONET
2024-03-01,America,Canada,0.0,thousand bbl,energy,PETRONET
2024-03-01,America,Canada,0.0,thousand USD,energy,PETRONET
2024-03-01,America,Canada,0.0,USD/bbl,energy,PETRONET
2024-03-01,America,Ecuador,0.0,thousand bbl,energy,PETRONET
2024-03-01,America,Ecuador,0.0,thousand USD,energy,PETRONET
2024-03-01,America,Ecuador,0.0,USD/bbl,energy,PETRONET
2024-03-01,America,Mexico,1224.0,thousand bbl,energy,PETRONET
2024-03-01,America,Mexico,89250.0,thousand USD,energy,PETRONET
2024-03-01,America,Mexico,72.89,USD/bbl,energy,PETRONET
2024-03-01,America,United States,12254.0,thousand bbl,energy,PETRONET
2024-03-01,America,United States,1027068.0,thousand USD,energy,PETRONET
2024-03-01,America,United States,83.82,USD/bbl,energy,PETRONET
2024-03-01,Asia,Asia,3.69,percentage,energy,PETRONET
2024-03-01,Asia,Asia,3061.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Asia,255977.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Asia,36.34142857142857,USD/bbl,energy,PETRONET
2024-03-01,Asia,Australia,682.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Australia,56325.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Australia,82.57,USD/bbl,energy,PETRONET
2024-03-01,Asia,Indonesia,240.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Indonesia,21260.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Indonesia,88.42,USD/bbl,energy,PETRONET
2024-03-01,Asia,Kazakhstan,2139.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Kazakhstan,178392.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Kazakhstan,83.4,USD/bbl,energy,PETRONET
2024-03-01,Asia,Malaysia,0.0,thousand bbl,energy,PETRONET
2024-03-01,Asia,Malaysia,0.0,thousand USD,energy,PETRONET
2024-03-01,Asia,Malaysia,0.0,USD/bbl,energy,PETRONET
2024-03-01,Asia,New Zealand,0.0,thousand bbl,energy,PETRONET
