date,indicator,value,unit,source
2007-08-01,Coincident Index,101.5,index,ECOS
2007-08-01,Leading Index,101.5,index,ECOS
2007-08-01,Leading–Coincident Spread,0.0,index,ECOS
2007-09-01,KOSPI,1946.47998046875,index,ECOS
2007-09-01,Coincident Index,101.3,index,ECOS
2007-09-01,Leading Index,101.5,index,ECOS
2007-09-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS
2007-10-01,KOSPI,2064.85009765625,index,ECOS
2007-10-01,Coincident Index,101.6,index,ECOS
2007-10-01,Leading Index,101.4,index,ECOS
2007-10-01,Leading–Coincident Spread,-0.1999999999999886,index,ECOS
2007-11-01,KOSPI,1906.0,index,ECOS
2007-11-01,Coincident Index,101.8,index,ECOS
2007-11-01,Leading Index,101.5,index,ECOS
2007-11-01,Leading–Coincident Spread,-0.2999999999999971,index,ECOS
2007-12-01,KOSPI,1897.1300048828125,index,ECOS
2007-12-01,Coincident Index,102.2,index,ECOS
2007-12-01,Leading Index,101.5,index,ECOS
2007-12-01,Leading–Coincident Spread,-0.7000000000000028,index,ECOS
2008-01-01,KOSPI,1624.6800537109375,index,ECOS
2008-01-01,Coincident Index,102.5,index,ECOS
2008-01-01,Leading Index,101.1,index,ECOS
2008-01-01,Leading–Coincident Spread,-1.4000000000000057,index,ECOS
2008-02-01,KOSPI,1711.6199951171875,index,ECOS
2008-02-01,Coincident Index,102.5,index,ECOS
2008-02-01,Leading Index,100.6,index,ECOS
2008-02-01,Leading–Coincident Spread,-1.9000000000000057,index,ECOS
2008-03-01,KOSPI,1703.989990234375,index,ECOS
2008-03-01,Coincident Index,102.4,index,ECOS
2008-03-01,Leading Index,100.2,index,ECOS
2008-03-01,Leading–Coincident Spread,-2.200000000000003,index,ECOS
2008-04-01,KOSPI,1825.469970703125,index,ECOS
2008-04-01,Coincident Index,102.0,index,ECOS
2008-04-01,Leading Index,100.0,index,ECOS
2008-04-01,Leading–Coincident Spread,-2.0,index,ECOS
2008-05-01,KOSPI,1852.02001953125,index,ECOS
2008-05-01,Coincident Index,101.8,index,ECOS
2008-05-01,Leading Index,99.7,index,ECOS
2008-05-01,Leading–Coincident Spread,-2.0999999999999943,index,ECOS
2008-06-01,KOSPI,1674.9200439453125,index,ECOS
2008-06-01,Coincident Index,101.2,index,ECOS
2008-06-01,Leading Index,99.3,index,ECOS
2008-06-01,Leading–Coincident Spread,-1.9000000000000057,index,ECOS
2008-07-01,KOSPI,1594.6700439453125,index,ECOS
2008-07-01,Coincident Index,100.9,index,ECOS
2008-07-01,Leading Index,98.9,index,ECOS
2008-07-01,Leading–Coincident Spread,-2.0,index,ECOS
2008-08-01,KOSPI,1474.239990234375,index,ECOS
2008-08-01,Coincident Index,100.7,index,ECOS
