date,indicator,value,unit,source,trend_3m
2005-11-01,Leading–Coincident Spread,1.0,index,ECOS,-0.1428571428571443
2005-12-01,KOSPI,1379.3699951171875,index,ECOS,0.09172776239321456
2005-12-01,Coincident Index,99.5,index,ECOS,0.005063848750428979
2005-12-01,Leading Index,100.5,index,ECOS,0.00299900299900302
2005-12-01,Leading–Coincident Spread,1.0,index,ECOS,-0.1428571428571443
2006-01-01,KOSPI,1399.8299560546875,index,ECOS,0.03899015162227837
2006-01-01,Coincident Index,99.8,index,ECOS,0.0035257011596834253
2006-01-01,Leading Index,100.9,index,ECOS,0.00398805174924588
2006-01-01,Leading–Coincident Spread,1.1000000000000083,index,ECOS,0.05000000000000415
2006-02-01,KOSPI,1371.5899658203125,index,ECOS,-0.0026705208506935807
2006-02-01,Coincident Index,99.7,index,ECOS,0.0010065356844342621
2006-02-01,Leading Index,101.0,index,ECOS,0.0024855898899950324
2006-02-01,Leading–Coincident Spread,1.2999999999999972,index,ECOS,0.14090909090908932
2006-03-01,KOSPI,1359.5999755859375,index,ECOS,-0.01445777218820582
2006-03-01,Coincident Index,99.9,index,ECOS,0.000502007023073292
2006-03-01,Leading Index,100.8,index,ECOS,-0.0004945588711497972
2006-03-01,Leading–Coincident Spread,0.8999999999999915,index,ECOS,-0.06293706293707119
2006-04-01,KOSPI,1419.72998046875,index,ECOS,0.017742287467718665
2006-04-01,Coincident Index,99.9,index,ECOS,0.0010030090270812808
2006-04-01,Leading Index,100.6,index,ECOS,-0.0019821625019644795
2006-04-01,Leading–Coincident Spread,0.6999999999999886,index,ECOS,-0.2649572649572701
2006-05-01,KOSPI,1317.699951171875,index,ECOS,-0.013819775760847752
2006-05-01,Coincident Index,100.0,index,ECOS,0.0005005005005004337
2006-05-01,Leading Index,100.5,index,ECOS,-0.0014890813847076023
2006-05-01,Leading–Coincident Spread,0.5,index,ECOS,-0.25396825396825085
2006-06-01,KOSPI,1295.1500244140625,index,ECOS,-0.044489447837187
2006-06-01,Coincident Index,99.8,index,ECOS,-0.0004994994994995672
2006-06-01,Leading Index,100.1,index,ECOS,-0.002487067643887897
2006-06-01,Leading–Coincident Spread,0.2999999999999971,index,ECOS,-0.34285714285714
2006-07-01,KOSPI,1297.8199462890625,index,ECOS,-0.007525809920444659
2006-07-01,Coincident Index,99.1,index,ECOS,-0.004507014028056144
2006-07-01,Leading Index,99.5,index,ECOS,-0.004987052748246734
2006-07-01,Leading–Coincident Spread,0.4000000000000057,index,ECOS,-0.03333333333332028
2006-08-01,KOSPI,1352.739990234375,index,ECOS,0.022189314460493992
2006-08-01,Coincident Index,99.0,index,ECOS,-0.004011554895866409
2006-08-01,Leading Index,99.0,index,ECOS,-0.005509565811073314
2006-08-01,Leading–Coincident Spread,0.0,index,ECOS,-0.3333333333333174
2006-09-01,KOSPI,1371.4100341796875,index,ECOS,0.028059401025527952
2006-09-01,Coincident Index,99.4,index,ECOS,0.0015156611523917674
2006-09-01,Leading Index,99.3,index,ECOS,-0.0009974112989188932
2006-09-01,Leading–Coincident Spread,-0.1000000000000085,index,ECOS,
2006-10-01,KOSPI,1364.550048828125,index,ECOS,0.0043997548894272875
2006-10-01,Coincident Index,100.3,index,ECOS,0.006547364998069183
2006-10-01,Leading Index,99.7,index,ECOS,0.0035292502059873776
2006-10-01,Leading–Coincident Spread,-0.5999999999999943,index,ECOS,
2006-11-01,KOSPI,1432.2099609375,index,ECOS,0.022290952764612848
2006-11-01,Coincident Index,100.8,index,ECOS,0.0070196854105690765
2006-11-01,Leading Index,100.0,index,ECOS,0.003518612231457774
2006-11-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS,2.666666666666387
2006-12-01,KOSPI,1434.4599609375,index,ECOS,0.02557752225165022
2006-12-01,Coincident Index,100.9,index,ECOS,0.002988554178733671
2006-12-01,Leading Index,99.9,index,ECOS,0.0010045135406219208
2006-12-01,Leading–Coincident Spread,-1.0,index,ECOS,0.29166666666667285
2007-01-01,KOSPI,1360.22998046875,index,ECOS,-0.025088342540635855
2007-01-01,Coincident Index,100.9,index,ECOS,0.0004960317460317443
2007-01-01,Leading Index,100.0,index,ECOS,5.005005004887764e-07
2007-01-01,Leading–Coincident Spread,-0.9000000000000057,index,ECOS,0.07500000000000506
2007-02-01,KOSPI,1417.3399658203125,index,ECOS,-0.004881073697382554
2007-02-01,Coincident Index,101.0,index,ECOS,0.0004955401387511937
2007-02-01,Leading Index,100.2,index,ECOS,0.0015005005005004346
2007-02-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS,-0.10555555555555712
2007-03-01,KOSPI,1452.550048828125,index,ECOS,0.033413952901939825
2007-03-01,Coincident Index,101.1,index,ECOS,0.0009905896437016892
2007-03-01,Leading Index,100.3,index,ECOS,0.0014990019960079426
2007-03-01,Leading–Coincident Spread,-0.7999999999999972,index,ECOS,-0.055555555555559966
2007-04-01,KOSPI,1542.239990234375,index,ECOS,0.04329445529415832
2007-04-01,Coincident Index,101.3,index,ECOS,0.001484169188432194
2007-04-01,Leading Index,100.4,index,ECOS,0.0009975064825483715
2007-04-01,Leading–Coincident Spread,-0.8999999999999915,index,ECOS,0.06249999999999667
2007-05-01,KOSPI,1700.9100341796875,index,ECOS,0.08231469506035416
2007-05-01,Coincident Index,101.4,index,ECOS,0.0014827030990789414
2007-05-01,Leading Index,100.6,index,ECOS,0.001494520422795298
2007-05-01,Leading–Coincident Spread,-0.8000000000000114,index,ECOS,0.006944444444451636
2007-06-01,KOSPI,1743.5999755859375,index,ECOS,0.06399057185266077
2007-06-01,Coincident Index,101.3,index,ECOS,4.867686543841288e-07
2007-06-01,Leading Index,101.0,index,ECOS,0.0029840875068314343
2007-06-01,Leading–Coincident Spread,-0.2999999999999971,index,ECOS,-0.3680555555555495
2007-07-01,KOSPI,1933.27001953125,index,ECOS,0.06693950256738901
2007-07-01,Coincident Index,101.4,index,ECOS,4.867686543841288e-07
2007-07-01,Leading Index,101.4,index,ECOS,0.003968269590378548
2007-07-01,Leading–Coincident Spread,0.0,index,ECOS,-0.8125000000000044
2007-08-01,KOSPI,1873.239990234375,index,ECOS,0.03886483917056471
2007-08-01,Coincident Index,101.5,index,ECOS,0.0009866800625399907
2007-08-01,Leading Index,101.5,index,ECOS,0.0024732946667447298
2007-08-01,Leading–Coincident Spread,0.0,index,ECOS,
2007-09-01,KOSPI,1946.47998046875,index,ECOS,0.004023498157863847
2007-09-01,Coincident Index,101.3,index,ECOS,-0.0004921250279341094
2007-09-01,Leading Index,101.5,index,ECOS,0.0004930966469427478
2007-09-01,Leading–Coincident Spread,0.2000000000000028,index,ECOS,
2007-10-01,KOSPI,2064.85009765625,index,ECOS,0.049955213664509945
2007-10-01,Coincident Index,101.6,index,ECOS,0.0004955285719148717
