date,currency,quote,exchange_rate,unit,source,pair
2003-09-01,JPY,KRW,1015.26,원,ECOS,JPY/KRW
2003-09-01,USD,KRW,1166.17,원,ECOS,USD/KRW
2003-10-01,EUR,KRW,1365.5,원,ECOS,EUR/KRW
2003-10-01,EUR,USD,1.1708,달러,ECOS,EUR/USD
2003-10-01,JPY,KRW,1065.53,원,ECOS,JPY/KRW
2003-10-01,USD,KRW,1166.27,원,ECOS,USD/KRW
2003-11-01,EUR,KRW,1385.52,원,ECOS,EUR/KRW
2003-11-01,EUR,USD,1.1693,달러,ECOS,EUR/USD
2003-11-01,JPY,KRW,1085.17,원,ECOS,JPY/KRW
2003-11-01,USD,KRW,1184.87,원,ECOS,USD/KRW
2003-12-01,EUR,KRW,1464.02,원,ECOS,EUR/KRW
2003-12-01,EUR,USD,1.2272,달러,ECOS,EUR/USD
2003-12-01,JPY,KRW,1106.05,원,ECOS,JPY/KRW
2003-12-01,USD,KRW,1192.95,원,ECOS,USD/KRW
2004-01-01,EUR,KRW,1492.92,원,ECOS,EUR/KRW
2004-01-01,EUR,USD,1.2606,달러,ECOS,EUR/USD
2004-01-01,JPY,KRW,1112.68,원,ECOS,JPY/KRW
2004-01-01,USD,KRW,1184.32,원,ECOS,USD/KRW
2004-02-01,EUR,KRW,1473.87,원,ECOS,EUR/KRW
2004-02-01,EUR,USD,1.2634,달러,ECOS,EUR/USD
2004-02-01,JPY,KRW,1095.65,원,ECOS,JPY/KRW
2004-02-01,USD,KRW,1166.69,원,ECOS,USD/KRW
2004-03-01,EUR,KRW,1430.01,원,ECOS,EUR/KRW
2004-03-01,EUR,USD,1.2264,달러,ECOS,EUR/USD
2004-03-01,JPY,KRW,1073.06,원,ECOS,JPY/KRW
2004-03-01,USD,KRW,1166.34,원,ECOS,USD/KRW
2004-04-01,EUR,KRW,1381.28,원,ECOS,EUR/KRW
2004-04-01,EUR,USD,1.2003,달러,ECOS,EUR/USD
2004-04-01,JPY,KRW,1071.23,원,ECOS,JPY/KRW
2004-04-01,USD,KRW,1150.85,원,ECOS,USD/KRW
2004-05-01,EUR,KRW,1412.17,원,ECOS,EUR/KRW
2004-05-01,EUR,USD,1.1995,달러,ECOS,EUR/USD
2004-05-01,JPY,KRW,1048.86,원,ECOS,JPY/KRW
2004-05-01,USD,KRW,1177.37,원,ECOS,USD/KRW
2004-06-01,EUR,KRW,1407.31,원,ECOS,EUR/KRW
2004-06-01,EUR,USD,1.2146,달러,ECOS,EUR/USD
2004-06-01,JPY,KRW,1059.02,원,ECOS,JPY/KRW
2004-06-01,USD,KRW,1158.65,원,ECOS,USD/KRW
2004-07-01,EUR,KRW,1420.75,원,ECOS,EUR/KRW
2004-07-01,EUR,USD,1.2273,달러,ECOS,EUR/USD
2004-07-01,JPY,KRW,1059.14,원,ECOS,JPY/KRW
2004-07-01,USD,KRW,1157.66,원,ECOS,USD/KRW
2004-08-01,EUR,KRW,1412.07,원,ECOS,EUR/KRW
2004-08-01,EUR,USD,1.2184,달러,ECOS,EUR/USD
2004-08-01,JPY,KRW,1050.33,원,ECOS,JPY/KRW
2004-08-01,USD,KRW,1159.0,원,ECOS,USD/KRW
2004-09-01,EUR,KRW,1400.99,원,ECOS,EUR/KRW
2004-09-01,EUR,USD,1.2204,달러,ECOS,EUR/USD
2004-09-01,JPY,KRW,1044.92,원,ECOS,JPY/KRW
2004-09-01,USD,KRW,1147.97,원,ECOS,USD/KRW
2004-10-01,EUR,KRW,1428.65,원,ECOS,EUR/KRW
2004-10-01,EUR,USD,1.2489,달러,ECOS,EUR/USD
2004-10-01,JPY,KRW,1049.51,원,ECOS,JPY/KRW
2004-10-01,USD,KRW,1144.04,원,ECOS,USD/KRW
2004-11-01,EUR,KRW,1416.28,원,ECOS,EUR/KRW
2004-11-01,EUR,USD,1.2982,달러,ECOS,EUR/USD
2004-11-01,JPY,KRW,1040.99,원,ECOS,JPY/KRW
2004-11-01,USD,KRW,1091.19,원,ECOS,USD/KRW
2004-12-01,EUR,KRW,1408.59,원,ECOS,EUR/KRW
2004-12-01,EUR,USD,1.3404,달러,ECOS,EUR/USD
2004-12-01,JPY,KRW,1012.47,원,ECOS,JPY/KRW
2004-12-01,USD,KRW,1050.91,원,ECOS,USD/KRW
2005-01-01,EUR,KRW,1363.74,원,ECOS,EUR/KRW
2005-01-01,EUR,USD,1.3135,달러,ECOS,EUR/USD
2005-01-01,JPY,KRW,1005.69,원,ECOS,JPY/KRW
2005-01-01,USD,KRW,1038.23,원,ECOS,USD/KRW
2005-02-01,EUR,KRW,1333.91,원,ECOS,EUR/KRW
2005-02-01,EUR,USD,1.3047,달러,ECOS,EUR/USD
2005-02-01,JPY,KRW,974.84,원,ECOS,JPY/KRW
2005-02-01,USD,KRW,1022.43,원,ECOS,USD/KRW
2005-03-01,EUR,KRW,1328.62,원,ECOS,EUR/KRW
2005-03-01,EUR,USD,1.3188,달러,ECOS,EUR/USD
2005-03-01,JPY,KRW,957.14,원,ECOS,JPY/KRW
2005-03-01,USD,KRW,1007.49,원,ECOS,USD/KRW
2005-04-01,EUR,KRW,1308.75,원,ECOS,EUR/KRW
2005-04-01,EUR,USD,1.2946,달러,ECOS,EUR/USD
2005-04-01,JPY,KRW,942.59,원,ECOS,JPY/KRW
2005-04-01,USD,KRW,1010.94,원,ECOS,USD/KRW
2005-05-01,EUR,KRW,1271.83,원,ECOS,EUR/KRW
2005-05-01,EUR,USD,1.269,달러,ECOS,EUR/USD
2005-05-01,JPY,KRW,939.38,원,ECOS,JPY/KRW
2005-05-01,USD,KRW,1002.21,원,ECOS,USD/KRW
2005-06-01,EUR,KRW,1229.06,원,ECOS,EUR/KRW
2005-06-01,EUR,USD,1.2158,달러,ECOS,EUR/USD
2005-06-01,JPY,KRW,930.05,원,ECOS,JPY/KRW
2005-06-01,USD,KRW,1010.87,원,ECOS,USD/KRW
2005-07-01,EUR,KRW,1249.5,원,ECOS,EUR/KRW
2005-07-01,EUR,USD,1.2044,달러,ECOS,EUR/USD
