date,partner,Total Exports,Total Imports,trade_balance
2021-04-01,Australia,767341.0,0.0,767341.0
2021-04-01,Canada,576082.0,0.0,576082.0
2021-04-01,China,13401058.0,11517639.0,1883419.0
2021-04-01,France,0.0,553362.0,-553362.0
2021-04-01,Germany,981881.0,0.0,981881.0
2021-04-01,India,0.0,734173.0,-734173.0
2021-04-01,Indonesia,666339.0,829827.0,-163488.0
2021-04-01,Italy,0.0,682321.0,-682321.0
2021-04-01,Malaysia,0.0,776237.0,-776237.0
2021-04-01,Philippines,617628.0,0.0,617628.0
2021-04-01,Russia,836356.0,0.0,836356.0
2021-04-01,Singapore,0.0,1119938.0,-1119938.0
2021-04-01,Thailand,761700.0,582373.0,179327.0
2021-04-01,United Arab Emirates,0.0,431437.0,-431437.0
2021-04-01,United States,7557229.0,6440357.0,1116872.0
2021-04-01,World,51225991.0,0.0,51225991.0
2021-05-01,Australia,682264.0,0.0,682264.0
2021-05-01,Canada,508387.0,0.0,508387.0
2021-05-01,China,13246809.0,10874644.0,2372165.0
2021-05-01,France,0.0,551812.0,-551812.0
2021-05-01,Germany,949240.0,0.0,949240.0
2021-05-01,India,0.0,583047.0,-583047.0
2021-05-01,Indonesia,687664.0,710015.0,-22351.0
2021-05-01,Italy,0.0,717599.0,-717599.0
2021-05-01,Malaysia,0.0,923161.0,-923161.0
2021-05-01,Philippines,671001.0,0.0,671001.0
2021-05-01,Russia,772787.0,0.0,772787.0
2021-05-01,Singapore,0.0,809805.0,-809805.0
2021-05-01,Thailand,724331.0,598401.0,125930.0
2021-05-01,United Arab Emirates,0.0,647970.0,-647970.0
2021-05-01,United States,7448016.0,6436130.0,1011886.0
2021-05-01,World,50725161.0,0.0,50725161.0
2021-06-01,Australia,847889.0,0.0,847889.0
2021-06-01,Canada,585636.0,0.0,585636.0
2021-06-01,China,13070490.0,11423625.0,1646865.0
2021-06-01,France,0.0,566904.0,-566904.0
2021-06-01,Germany,1019440.0,0.0,1019440.0
2021-06-01,India,0.0,586354.0,-586354.0
2021-06-01,Indonesia,699460.0,750260.0,-50800.0
2021-06-01,Italy,0.0,745647.0,-745647.0
2021-06-01,Malaysia,0.0,902933.0,-902933.0
2021-06-01,Philippines,770671.0,0.0,770671.0
2021-06-01,Russia,961017.0,0.0,961017.0
2021-06-01,Singapore,0.0,982946.0,-982946.0
2021-06-01,Thailand,680938.0,651294.0,29644.0
2021-06-01,United Arab Emirates,0.0,558599.0,-558599.0
2021-06-01,United States,8717226.0,6489351.0,2227875.0
2021-06-01,World,54778905.0,0.0,54778905.0
2021-07-01,Australia,899641.0,0.0,899641.0
2021-07-01,Canada,578480.0,0.0,578480.0
2021-07-01,China,13586374.0,11524030.0,2062344.0
2021-07-01,France,0.0,562885.0,-562885.0
2021-07-01,Germany,771280.0,0.0,771280.0
2021-07-01,India,0.0,711402.0,-711402.0
2021-07-01,Indonesia,691666.0,1076989.0,-385323.0
2021-07-01,Italy,0.0,761560.0,-761560.0
2021-07-01,Malaysia,0.0,890220.0,-890220.0
2021-07-01,Philippines,786896.0,0.0,786896.0
2021-07-01,Russia,806026.0,0.0,806026.0
2021-07-01,Singapore,0.0,831688.0,-831688.0
2021-07-01,Thailand,777135.0,624971.0,152164.0
2021-07-01,United Arab Emirates,0.0,554275.0,-554275.0
2021-07-01,United States,8724016.0,6339477.0,2384539.0
2021-07-01,World,55461518.0,0.0,55461518.0
2021-08-01,Australia,675742.0,0.0,675742.0
2021-08-01,Canada,432765.0,0.0,432765.0
2021-08-01,China,13881328.0,11731429.0,2149899.0
2021-08-01,France,0.0,566477.0,-566477.0
2021-08-01,Germany,786968.0,0.0,786968.0
2021-08-01,India,0.0,737523.0,-737523.0
2021-08-01,Indonesia,642310.0,1028246.0,-385936.0
2021-08-01,Italy,0.0,642550.0,-642550.0
2021-08-01,Malaysia,0.0,710923.0,-710923.0
2021-08-01,Philippines,819657.0,0.0,819657.0
2021-08-01,Russia,674274.0,0.0,674274.0
2021-08-01,Singapore,0.0,745968.0,-745968.0
2021-08-01,Thailand,692951.0,601298.0,91653.0
2021-08-01,United Arab Emirates,0.0,604836.0,-604836.0
2021-08-01,United States,7704224.0,6210232.0,1493992.0
2021-08-01,World,53165104.0,0.0,53165104.0
2021-09-01,Australia,804980.0,0.0,804980.0
2021-09-01,Canada,498027.0,0.0,498027.0
2021-09-01,China,14291980.0,11409467.0,2882513.0
2021-09-01,France,0.0,516521.0,-516521.0
2021-09-01,Germany,830673.0,0.0,830673.0
2021-09-01,India,0.0,765524.0,-765524.0
2021-09-01,Indonesia,666604.0,945702.0,-279098.0
2021-09-01,Italy,0.0,584465.0,-584465.0
2021-09-01,Malaysia,0.0,924906.0,-924906.0
2021-09-01,Philippines,928034.0,0.0,928034.0
2021-09-01,Russia,1083206.0,0.0,1083206.0
2021-09-01,Singapore,0.0,854246.0,-854246.0
2021-09-01,Thailand,643974.0,597923.0,46051.0
2021-09-01,United Arab Emirates,0.0,684946.0,-684946.0
2021-09-01,United States,7983934.0,5959730.0,2024204.0
2021-09-01,World,55913862.0,0.0,55913862.0
2021-10-01,Australia,1021644.0,0.0,1021644.0
2021-10-01,Canada,577150.0,0.0,577150.0
2021-10-01,China,14415867.0,11984639.0,2431228.0
2021-10-01,France,0.0,648747.0,-648747.0
2021-10-01,Germany,792840.0,0.0,792840.0
2021-10-01,India,0.0,741357.0,-741357.0
2021-10-01,Indonesia,741270.0,926588.0,-185318.0
2021-10-01,Italy,0.0,619939.0,-619939.0
2021-10-01,Malaysia,0.0,999565.0,-999565.0
2021-10-01,Philippines,984263.0,0.0,984263.0
2021-10-01,Russia,805868.0,0.0,805868.0
2021-10-01,Singapore,0.0,874566.0,-874566.0
2021-10-01,Thailand,677841.0,580766.0,97075.0
2021-10-01,United Arab Emirates,0.0,655218.0,-655218.0
2021-10-01,United States,8066783.0,5995841.0,2070942.0
2021-10-01,World,55660373.0,0.0,55660373.0
2021-11-01,Australia,947691.0,0.0,947691.0
2021-11-01,Canada,663067.0,0.0,663067.0
2021-11-01,China,15272549.0,13663761.0,1608788.0
2021-11-01,France,0.0,564888.0,-564888.0
2021-11-01,Germany,820883.0,0.0,820883.0
2021-11-01,India,0.0,791821.0,-791821.0
2021-11-01,Indonesia,882934.0,925632.0,-42698.0
2021-11-01,Italy,0.0,684822.0,-684822.0
2021-11-01,Malaysia,0.0,845604.0,-845604.0
2021-11-01,Philippines,959547.0,0.0,959547.0
2021-11-01,Russia,857756.0,0.0,857756.0
2021-11-01,Singapore,0.0,764867.0,-764867.0
2021-11-01,Thailand,706258.0,595871.0,110387.0
2021-11-01,United Arab Emirates,0.0,703249.0,-703249.0
2021-11-01,United States,8133640.0,6640496.0,1493144.0
2021-11-01,World,60330542.0,0.0,60330542.0
2021-12-01,Australia,1130830.0,0.0,1130830.0
2021-12-01,Canada,573075.0,0.0,573075.0
2021-12-01,China,15342563.0,13829109.0,1513454.0
2021-12-01,France,0.0,607264.0,-607264.0
2021-12-01,Germany,914588.0,0.0,914588.0
2021-12-01,India,0.0,743736.0,-743736.0
